City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Koumac,NC,2020-08-14 20:19:25,-20.57,164.28,64.85,78,0,4.7
127,Port Hedland,AU,2020-08-14 20:20:55,-20.32,118.57,55.4,87,0,6.93
128,Lebanon,US,2020-08-14 20:20:55,36.21,-86.29,86.0,62,20,2.95
129,Arraial Do Cabo,BR,2020-08-14 20:20:56,-22.97,-42.03,80.6,73,18,11.41
130,Barrow,US,2020-08-14 20:20:56,71.29,-156.79,48.2,87,90,11.41
131,Zeven,DE,2020-08-14 20:20:56,53.3,9.28,73.99,68,92,1.99
132,Maine-Soroa,NE,2020-08-14 20:20:56,13.21,12.02,83.12,67,43,11.48
133,Barao De Melgaco,BR,2020-08-14 20:20:56,-16.19,-55.97,100.4,15,0,10.29
134,Ribeira Grande,PT,2020-08-14 20:20:56,38.52,-28.7,75.2,83,40,11.41
135,Toamasina,MG,2020-08-14 20:20:56,-18.17,49.38,64.4,100,20,4.07
136,Petrokamenskoye,RU,2020-08-14 20:20:56,57.72,60.65,48.61,80,100,5.19
137,Guerrero Negro,MX,2020-08-14 20:20:56,27.98,-114.06,85.91,39,18,12.19
138,Tiksi,RU,2020-08-14 20:20:34,71.69,128.87,40.03,93,100,8.7
139,Pisco,PE,2020-08-14 20:20:56,-13.7,-76.22,68.0,64,2,6.93
140,Dengzhou,CN,2020-08-14 20:20:56,37.81,120.75,82.99,95,98,7.18
141,Ballina,AU,2020-08-14 20:20:56,-28.87,153.57,62.6,93,75,6.93
142,San Pedro De Ycuamandiyu,PY,2020-08-14 20:20:56,-24.09,-57.08,86.09,45,18,1.41
143,San Ignacio,BZ,2020-08-14 20:20:57,17.16,-89.07,91.4,55,20,6.93
144,Kruisfontein,ZA,2020-08-14 20:20:57,-34.0,24.73,50.0,80,0,3.8
145,Shenzhen,CN,2020-08-14 20:20:57,22.55,114.07,84.2,79,20,8.95
146,Semirom,IR,2020-08-14 20:20:57,31.42,51.57,63.28,31,14,2.19
147,Mar Del Plata,AR,2020-08-14 20:19:11,-38.0,-57.56,62.6,39,100,9.17
148,Skjervoy,NO,2020-08-14 20:20:57,70.03,20.97,53.6,100,75,6.93
149,Fairbanks,US,2020-08-14 20:20:03,64.84,-147.72,66.0,63,1,0.96
150,Tuktoyaktuk,CA,2020-08-14 20:20:57,69.45,-133.04,51.8,76,75,3.36
151,Maceio,BR,2020-08-14 20:19:56,-9.67,-35.74,77.0,69,20,11.41
152,Ust-Nera,RU,2020-08-14 20:20:57,64.57,143.2,41.52,67,0,4.38
153,Red Bank,US,2020-08-14 20:20:57,40.35,-74.06,82.4,61,1,11.41
154,Sabzevar,IR,2020-08-14 20:20:57,36.21,57.68,82.49,22,0,17.11
155,Shakhtne,UA,2020-08-14 20:20:57,47.98,38.28,60.44,54,64,5.21
156,Erenhot,CN,2020-08-14 20:20:57,43.65,111.98,72.48,47,100,8.79
157,Bengkulu,ID,2020-08-14 20:20:58,-3.8,102.27,76.3,79,25,3.89
158,Ayan,RU,2020-08-14 20:20:58,56.45,138.17,57.79,82,100,16.58
159,Oktyabrskoye,RU,2020-08-14 20:20:58,43.06,44.74,62.6,88,100,6.71
160,Bethel,US,2020-08-14 20:18:11,41.37,-73.41,87.01,45,75,9.17
161,Geraldton,AU,2020-08-14 20:20:58,-28.77,114.6,46.4,87,0,7.31
162,Upernavik,GL,2020-08-14 20:20:58,72.79,-56.15,41.83,64,2,10.78
163,Melfi,IT,2020-08-14 20:20:58,41.0,15.65,82.4,54,5,4.7
164,Warmbad,NA,2020-08-14 20:20:58,-28.45,18.73,61.12,29,0,8.14
165,Barentu,ER,2020-08-14 20:20:58,15.11,37.59,70.32,90,100,8.99
166,Nago,JP,2020-08-14 20:20:58,26.59,127.98,82.4,83,20,3.36
167,Vardo,NO,2020-08-14 20:20:58,70.37,31.11,53.6,76,100,13.87
168,Butare,RW,2020-08-14 20:20:58,-2.6,29.74,70.63,40,100,2.01
169,Mount Isa,AU,2020-08-14 20:20:58,-20.73,139.5,62.6,42,0,6.93
170,Nouadhibou,MR,2020-08-14 20:20:58,20.93,-17.03,73.4,83,1,14.99
171,Cabo San Lucas,MX,2020-08-14 20:20:59,22.89,-109.91,89.01,88,40,9.17
172,Dikson,RU,2020-08-14 20:20:56,73.51,80.55,45.64,89,91,14.58
173,Utica,US,2020-08-14 20:20:59,43.1,-75.23,86.0,42,1,2.19
174,Ipira,BR,2020-08-14 20:20:59,-12.16,-39.74,77.56,62,64,10.54
175,Longyearbyen,SJ,2020-08-14 20:20:59,78.22,15.64,46.4,70,75,20.8
176,Adiake,CI,2020-08-14 20:20:59,5.29,-3.3,75.2,94,75,6.93
177,Kirakira,SB,2020-08-14 20:20:59,-10.45,161.92,78.98,79,100,2.75
178,Banjar,ID,2020-08-14 20:20:59,-8.19,114.97,78.8,100,40,10.29
179,Tiarei,PF,2020-08-14 20:20:59,-17.53,-149.33,82.4,74,20,4.7
180,Hambantota,LK,2020-08-14 20:20:59,6.12,81.12,79.18,78,100,17.49
181,Airai,TL,2020-08-14 20:20:59,-8.93,125.41,54.97,89,1,2.64
182,Kaduqli,SD,2020-08-14 20:20:59,11.02,29.72,75.99,83,100,2.33
183,Makaha,US,2020-08-14 20:20:59,21.47,-158.22,84.2,65,75,9.17
184,Yarmouth,US,2020-08-14 20:16:06,41.71,-70.23,79.0,73,1,11.41
185,Bambous Virieux,MU,2020-08-14 20:20:59,-20.34,57.76,69.8,73,20,5.82
186,Mulege,MX,2020-08-14 20:21:00,26.88,-111.98,93.74,48,0,14.54
187,Marienburg,PL,2020-08-14 20:21:00,54.04,19.03,70.0,100,15,7.49
188,Jumla,NP,2020-08-14 20:21:00,29.27,82.18,61.93,70,86,2.1
189,Severo-Kurilsk,RU,2020-08-14 20:21:01,50.68,156.12,52.45,76,100,2.53
190,Constitucion,CL,2020-08-14 20:21:01,-35.33,-72.42,53.96,57,0,16.31
191,Qasigiannguit,GL,2020-08-14 20:21:01,68.82,-51.19,42.8,56,34,3.36
192,Kemijarvi,FI,2020-08-14 20:21:01,66.71,27.43,54.68,86,68,1.99
193,Nadym,RU,2020-08-14 20:21:01,65.53,72.52,44.83,83,99,10.11
194,Ponta Do Sol,PT,2020-08-14 20:21:02,32.67,-17.1,73.4,69,20,8.05
195,Talcahuano,CL,2020-08-14 20:21:02,-36.72,-73.12,53.6,50,0,10.29
196,Abramovka,RU,2020-08-14 20:21:02,51.19,41.02,51.37,82,0,8.7
197,Sorong,ID,2020-08-14 20:21:02,-0.88,131.25,76.75,87,100,7.58
198,Kosh-Agach,RU,2020-08-14 20:21:03,50.0,88.67,48.43,86,100,2.39
199,Kapit,MY,2020-08-14 20:21:03,2.02,112.93,73.4,94,46,0.98
200,Taltal,CL,2020-08-14 20:21:03,-25.4,-70.48,59.94,57,22,6.55
201,Coihaique,CL,2020-08-14 20:21:03,-45.58,-72.07,37.4,74,75,5.82
202,Barsovo,RU,2020-08-14 20:21:04,61.17,73.17,53.6,81,75,8.95
203,Sohag,EG,2020-08-14 20:21:04,26.56,31.69,93.2,23,0,11.41
204,Lingao,CN,2020-08-14 20:21:04,19.91,109.69,77.13,86,46,6.73
205,Asau,RO,2020-08-14 20:21:04,46.43,26.4,59.0,80,1,3.24
206,Puerto Escondido,MX,2020-08-14 20:21:04,15.85,-97.07,89.6,62,5,6.93
207,Arrifes,PT,2020-08-14 20:21:04,37.77,-25.7,75.2,78,20,11.41
208,Malabo,GQ,2020-08-14 20:21:04,3.75,8.78,77.0,100,40,5.82
209,Road Town,VG,2020-08-14 20:19:34,18.42,-64.62,86.0,74,20,14.99
210,Barra Dos Coqueiros,BR,2020-08-14 20:21:04,-10.91,-37.04,78.8,69,20,5.82
211,Castro,BR,2020-08-14 20:21:04,-24.79,-50.01,69.58,75,42,5.1
212,Bon Air,US,2020-08-14 20:19:38,37.52,-77.56,86.0,78,40,5.82
213,Amahai,ID,2020-08-14 20:21:04,-3.33,128.92,81.0,92,76,1.5
214,Dong Xoai,VN,2020-08-14 20:21:04,11.53,106.92,74.5,94,100,3.4
215,Udachnyy,RU,2020-08-14 20:21:04,66.42,112.4,42.8,75,90,4.47
216,Princeton,US,2020-08-14 20:21:04,25.54,-80.41,93.2,62,1,10.29
217,Cherskiy,RU,2020-08-14 20:21:04,68.75,161.3,42.64,89,100,14.23
218,Ketchikan,US,2020-08-14 20:18:36,55.34,-131.65,57.2,100,90,20.8
219,Aykhal,RU,2020-08-14 20:21:05,66.0,111.5,42.8,75,90,4.47
220,Teluk Nibung,ID,2020-08-14 20:21:05,3.0,99.82,77.36,86,86,5.06
221,Te Anau,NZ,2020-08-14 20:21:05,-45.42,167.72,32.61,95,40,0.51
222,Vilhena,BR,2020-08-14 20:21:05,-12.74,-60.15,93.2,34,64,8.05
223,Leningradskiy,RU,2020-08-14 20:21:05,69.38,178.42,59.02,52,1,14.74
224,Hermanus,ZA,2020-08-14 20:21:05,-34.42,19.23,55.99,85,71,8.99
225,Bonthe,SL,2020-08-14 20:21:05,7.53,-12.51,77.47,79,71,8.57
226,Katsuura,JP,2020-08-14 20:21:05,35.13,140.3,80.6,100,40,4.7
227,Hohhot,CN,2020-08-14 20:21:05,40.81,111.65,66.2,77,20,4.47
228,Maragogi,BR,2020-08-14 20:21:05,-9.01,-35.22,74.93,77,1,5.59
229,Shingu,JP,2020-08-14 20:21:05,33.73,135.98,78.75,73,0,5.3
230,Portland,US,2020-08-14 20:21:05,45.52,-122.68,82.99,38,1,11.41
231,Jiuquan,CN,2020-08-14 20:21:05,39.74,98.52,72.07,36,41,9.01
232,Faanui,PF,2020-08-14 20:21:05,-16.48,-151.75,78.94,81,1,18.72
233,Kavieng,PG,2020-08-14 20:21:05,-2.57,150.8,82.8,71,100,5.08
234,Raton,US,2020-08-14 20:21:06,36.9,-104.44,93.2,6,1,11.41
235,Miri,MY,2020-08-14 20:21:06,4.41,114.01,77.0,100,40,4.7
236,Aklavik,CA,2020-08-14 20:21:06,68.22,-135.01,53.6,87,90,5.82
237,Pishin,PK,2020-08-14 20:21:06,30.58,67.0,75.24,55,0,5.37
238,Zeya,RU,2020-08-14 20:21:06,53.75,127.27,59.38,88,100,8.79
239,Torrington,US,2020-08-14 20:21:06,41.8,-73.12,86.0,49,100,1.99
240,Hay River,CA,2020-08-14 20:21:06,60.82,-115.8,59.0,87,75,16.11
241,Pacho,CO,2020-08-14 20:21:06,5.13,-74.16,64.4,63,75,10.29
242,Kenai,US,2020-08-14 20:21:06,60.55,-151.26,61.0,72,40,3.58
243,Ciudad Bolivar,VE,2020-08-14 20:21:06,8.12,-63.55,89.89,59,54,6.42
244,Carnarvon,AU,2020-08-14 20:21:06,-24.87,113.63,50.0,100,0,5.82
245,Souillac,MU,2020-08-14 20:21:06,-20.52,57.52,69.8,73,20,5.82
246,Banda Aceh,ID,2020-08-14 20:19:19,5.56,95.32,79.84,81,80,9.28
247,Rio Grande,BR,2020-08-14 20:20:35,-32.03,-52.1,60.8,77,75,11.41
248,Bilibino,RU,2020-08-14 20:21:06,68.05,166.44,47.55,86,100,8.7
249,Markova,UA,2020-08-14 20:21:07,48.68,24.41,64.4,77,1,4.47
250,Batagay-Alyta,RU,2020-08-14 20:21:07,67.8,130.41,39.0,91,100,1.66
251,Sola,VU,2020-08-14 20:21:07,-13.88,167.55,79.97,81,20,17.4
252,Arcata,US,2020-08-14 20:17:21,40.87,-124.08,82.99,60,1,3.36
253,Liepaja,LV,2020-08-14 20:21:07,56.54,21.04,57.2,93,33,2.75
254,Capao Da Canoa,BR,2020-08-14 20:21:07,-29.75,-50.01,61.75,89,68,13.2
255,Talagang,PK,2020-08-14 20:21:07,32.93,72.42,88.21,59,15,11.48
256,Mahanoro,MG,2020-08-14 20:21:07,-19.9,48.8,66.79,85,35,2.1
257,Whitehorse,CA,2020-08-14 20:19:10,60.72,-135.05,55.99,62,75,2.24
