City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rainfall(1hr),Snowfall(1hr)
289,Katsuura,JP,35.13,140.3,72.0,84,98,1.99,overcast clouds,0,0
290,Rancho Palos Verdes,US,33.74,-118.39,73.0,77,20,21.92,few clouds,0,0
291,Ngorongoro,TZ,-3.24,35.49,48.92,100,41,7.7,scattered clouds,0,0
292,Williams Lake,CA,52.14,-122.14,77.0,33,40,3.36,scattered clouds,0,0
293,Lompoc,US,34.64,-120.46,71.6,72,7,14.99,clear sky,0,0
294,Concepcion De Buenos Aires,MX,19.97,-103.27,69.8,73,90,4.7,overcast clouds,0,0
295,Kieta,PG,-6.22,155.63,86.29,62,87,2.42,overcast clouds,0,0
296,Dawson Creek,CA,55.77,-120.24,75.2,44,1,4.7,clear sky,0,0
297,Kurchum,KZ,48.57,83.65,59.67,68,80,10.09,broken clouds,0,0
298,Skelleftea,SE,64.75,20.95,61.0,100,100,10.29,moderate rain,0,0
299,Kholodnyy,RU,62.72,147.95,49.1,54,63,10.6,broken clouds,0,0
300,Proletarskiy,RU,50.79,35.77,69.8,77,75,11.18,thunderstorm with light rain,0,0
301,Grindavik,IS,63.84,-22.43,48.2,100,90,9.17,light intensity drizzle,0,0
302,Cabedelo,BR,-6.98,-34.83,71.6,100,75,12.75,light rain,0,0
303,Dalbandin,PK,28.89,64.41,82.56,20,71,4.25,broken clouds,0,0
304,Port Hedland,AU,-20.32,118.57,57.2,33,0,2.24,clear sky,0,0
305,Amga,RU,60.9,131.96,65.35,50,0,4.09,clear sky,0,0
306,Geraldton,AU,-28.77,114.6,50.0,81,0,8.05,clear sky,0,0
307,Ponta Delgada,PT,37.73,-25.67,71.6,100,75,9.17,broken clouds,0,0
308,Torbay,CA,47.67,-52.73,55.0,100,90,6.93,overcast clouds,0,0
309,Viedma,AR,-40.81,-63.0,43.7,61,84,9.78,broken clouds,0,0
310,Nikolskoye,RU,59.7,30.79,57.2,82,40,6.71,scattered clouds,0,0
311,Shieli,KZ,44.17,66.75,68.7,36,12,10.42,few clouds,0,0
312,Orange Cove,US,36.62,-119.31,100.99,31,1,6.58,clear sky,0,0
313,Champerico,GT,14.3,-91.92,75.2,94,90,6.93,thunderstorm with light rain,0,0
314,Atar,MR,20.52,-13.05,87.42,35,0,15.59,clear sky,0,0
315,Brookings,US,44.31,-96.8,78.8,54,1,10.29,clear sky,0,0
316,Sorland,NO,67.67,12.69,60.33,75,73,7.11,broken clouds,0,0
317,Morro Bay,US,35.37,-120.85,82.99,53,1,13.87,clear sky,0,0
318,Ranong,TH,9.97,98.63,77.0,94,75,5.21,broken clouds,0,0
319,Guarda,PT,40.54,-7.27,64.0,81,0,2.77,clear sky,0,0
320,Asasa,ET,7.1,39.2,54.46,86,80,4.56,broken clouds,0,0
321,Iacobeni,RO,47.43,25.32,54.0,89,54,1.66,broken clouds,0,0
322,Angouleme,FR,45.65,0.15,72.0,46,0,8.05,clear sky,0,0
323,Careiro Da Varzea,BR,-3.2,-59.81,84.2,58,1,5.82,clear sky,0,0
324,Kloulklubed,PW,7.04,134.26,78.8,94,90,11.36,overcast clouds,0,0
325,Matagami,CA,49.75,-77.63,64.4,93,75,3.96,broken clouds,0,0
